code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300642,透景生命,医疗保健,上海,0.0,0.74,0.91,12.11,8.69,2.0,5.6,6.17,-0.21,12.67,3.62,20170421,4.54,5.0,-57.16,-221.21,61.22,-65.95,11032.0
600741,华域汽车,汽车配件,上海,130.38,31.53,31.53,1319.74,777.0,221.32,128.05,4.06,0.043,15.56,1.43,19960826,282.74,8.97,-32.6,-92.7,13.16,0.56,65613.0
002635,安洁科技,IT设备,江苏,27.2,3.63,6.89,70.07,39.61,16.58,39.67,5.76,0.2,8.43,2.58,20111125,9.77,1.42,-6.65,-28.77,23.96,22.1,63449.0
688023,安恒信息,软件服务,浙江,0.0,0.16,0.74,19.43,16.06,2.81,12.42,16.77,-0.591,20.34,13.28,20191105,1.65,2.23,0.0,0.0,61.87,-37.54,3496.0
002833,弘亚数控,专用机械,广东,23.87,0.77,1.35,19.73,10.0,4.26,3.24,2.39,0.423,11.07,3.65,20161228,8.84,6.54,0.04,-25.1,30.31,19.18,6622.0
300657,弘信电子,元器件,福建,0.0,1.18,2.07,34.29,21.96,8.36,7.4,3.57,-0.147,6.68,4.03,20170523,3.97,1.92,-30.65,-235.36,1.73,-7.5,14826.0
603021,山东华鹏,玻璃,山东,303.83,3.2,3.2,34.2,10.44,13.35,6.04,1.89,0.01,3.56,1.67,20150423,1.84,0.58,-12.87,115.2,21.34,1.05,12384.0
300653,正海生物,医疗保健,山东,86.53,0.43,0.8,7.48,5.3,0.29,2.69,3.37,0.243,7.6,11.06,20170516,2.26,2.82,-26.96,-28.22,94.38,43.28,12343.0
600833,第一医药,医药商业,上海,30.07,2.23,2.23,14.79,11.21,0.74,0.65,0.29,0.084,3.31,3.03,19940224,2.62,1.17,63.02,32.02,16.0,3.71,24945.0
000030,富奥股份,汽车配件,吉林,18.62,17.6,18.11,125.93,63.9,23.19,5.21,0.29,0.066,3.74,1.31,19930929,40.88,2.26,-11.09,-41.62,12.16,5.7,31551.0
