date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-05-29,2.28,2.38,2.3,2.27,669154.88,0.01,0.44,2.308,2.332,2.399,546403.76,586524.57,888763.13
2020-05-28,2.3,2.34,2.29,2.26,445424.59,-0.01,-0.43,2.314,2.35,2.411,575082.03,609521.1,878376.15
2020-05-27,2.34,2.35,2.3,2.28,483536.16,-0.04,-1.71,2.312,2.37,2.437,590528.68,680861.27,887590.72
2020-05-26,2.3,2.36,2.34,2.26,622908.75,0.03,1.3,2.324,2.396,2.471,595193.01,808067.75,882522.84
2020-05-25,2.31,2.33,2.31,2.26,510994.41,-0.02,-0.86,2.34,2.408,2.506,581925.83,847394.04,871521.96
2020-05-22,2.27,2.48,2.33,2.26,812546.25,0.05,2.19,2.356,2.433,2.547,626645.39,948487.99,866979.68
2020-05-21,2.37,2.39,2.28,2.27,522657.81,-0.08,-3.39,2.386,2.462,2.589,643960.18,974033.66,866520.16
2020-05-20,2.42,2.43,2.36,2.34,506857.81,-0.06,-2.48,2.428,2.472,2.627,771193.86,1088091.33,858882.28
2020-05-19,2.42,2.48,2.42,2.38,556572.88,0.03,1.25,2.468,2.489,2.659,1020942.5,1110028.67,859244.19
2020-05-18,2.49,2.49,2.39,2.35,734592.19,-0.09,-3.63,2.476,2.477,2.69,1112862.25,1182338.37,854170.77
2020-05-15,2.53,2.55,2.48,2.45,899120.19,-0.01,-0.4,2.51,2.466,2.723,1270330.59,1191001.69,834232.76
2020-05-14,2.5,2.56,2.49,2.43,1158826.25,-0.07,-2.73,2.538,2.471,2.753,1304107.15,1147231.2,805545.34
2020-05-13,2.5,2.71,2.56,2.47,1755601.0,0.1,4.07,2.516,2.503,2.779,1404988.8,1094320.17,768354.67
2020-05-12,2.59,2.61,2.46,2.41,1016171.62,-0.1,-3.91,2.51,2.545,2.803,1199114.84,956977.92,706584.82
2020-05-11,2.61,2.7,2.56,2.54,1521933.88,-0.06,-2.29,2.478,2.603,2.843,1251814.49,895649.88,690726.41
