date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-04-08,3.32,3.35,3.34,3.31,131795.94,0.0,0.0,3.3,3.293,3.345,142222.34,149168.62,185408.14
2020-04-07,3.32,3.34,3.34,3.3,192533.28,0.07,2.14,3.28,3.287,3.359,153682.56,153346.01,192171.5
2020-04-03,3.3,3.31,3.27,3.26,105785.16,-0.03,-0.91,3.266,3.277,3.371,144893.9,153893.08,197435.37
2020-04-02,3.24,3.31,3.3,3.23,153937.31,0.05,1.54,3.276,3.282,3.394,158375.07,163047.64,206170.18
2020-04-01,3.23,3.28,3.25,3.23,127060.02,0.01,0.31,3.272,3.287,3.418,152592.32,170326.35,220078.76
2020-03-31,3.29,3.31,3.24,3.23,189097.05,-0.03,-0.92,3.286,3.296,3.441,156114.89,177767.08,228912.86
2020-03-30,3.29,3.3,3.27,3.25,148589.95,-0.05,-1.51,3.294,3.309,3.462,153009.45,180188.27,237455.76
2020-03-27,3.3,3.35,3.32,3.29,173191.0,0.04,1.22,3.288,3.323,3.481,162892.25,192854.93,249025.9
2020-03-26,3.32,3.32,3.28,3.28,125023.6,-0.04,-1.21,3.288,3.34,3.491,167720.21,205121.28,259891.57
2020-03-25,3.35,3.35,3.32,3.3,144672.84,0.04,1.22,3.302,3.367,3.51,188060.37,211582.5,267334.51
2020-03-24,3.28,3.32,3.28,3.23,173569.88,0.04,1.24,3.306,3.396,3.527,199419.27,221647.66,285236.14
2020-03-23,3.29,3.3,3.24,3.24,198003.94,-0.08,-2.41,3.324,3.43,3.544,207367.08,230996.99,294272.09
2020-03-20,3.37,3.39,3.32,3.32,197330.77,-0.03,-0.9,3.358,3.465,3.567,222817.61,240977.66,303534.37
2020-03-19,3.34,3.38,3.35,3.28,226724.41,0.01,0.3,3.392,3.505,3.585,242522.35,249292.73,312167.88
2020-03-18,3.4,3.42,3.34,3.32,201467.34,-0.03,-0.89,3.432,3.549,3.598,235104.63,269831.17,314715.96
2020-03-17,3.41,3.45,3.37,3.32,213308.92,-0.04,-1.17,3.486,3.586,3.609,243876.06,280058.64,315582.61
2020-03-16,3.51,3.53,3.41,3.37,275256.59,-0.08,-2.29,3.536,3.615,3.619,254626.91,294723.25,319088.76
2020-03-13,3.39,3.53,3.49,3.36,295854.47,-0.06,-1.69,3.572,3.639,3.627,259137.71,305196.86,320900.97
2020-03-12,3.58,3.6,3.55,3.53,189635.84,-0.06,-1.66,3.618,3.642,3.628,256063.11,314661.87,314422.32
2020-03-11,3.63,3.66,3.61,3.6,245324.48,-0.01,-0.28,3.666,3.652,3.625,304557.71,323086.51,315839.87
2020-03-10,3.52,3.68,3.62,3.52,267063.16,0.03,0.84,3.686,3.657,3.622,316241.22,348824.61,316209.74
2020-03-09,3.68,3.68,3.59,3.58,297810.62,-0.13,-3.5,3.694,3.658,3.618,334819.6,357547.18,324453.02
2020-03-06,3.76,3.76,3.72,3.7,280481.47,-0.07,-1.85,3.706,3.669,3.612,351256.01,366091.08,323891.14
2020-03-05,3.73,3.8,3.79,3.72,432108.81,0.08,2.16,3.666,3.665,3.596,373260.63,375043.03,321868.76
2020-03-04,3.66,3.71,3.71,3.62,303742.06,0.05,1.37,3.638,3.647,3.578,341615.31,359600.74,316138.23
2020-03-03,3.7,3.72,3.66,3.62,359955.03,0.01,0.27,3.628,3.631,3.563,381407.99,351106.59,316442.78
2020-03-02,3.51,3.69,3.65,3.51,379992.69,0.13,3.69,3.622,3.622,3.549,380274.77,343454.26,321436.99
2020-02-28,3.59,3.6,3.52,3.49,390504.56,-0.13,-3.56,3.632,3.615,3.54,380926.14,336605.07,310316.41
2020-02-27,3.66,3.7,3.65,3.64,273882.22,-0.01,-0.27,3.664,3.614,3.556,376825.42,314182.76,303023.29
2020-02-26,3.55,3.73,3.66,3.55,502705.47,0.03,0.83,3.656,3.598,3.571,377586.17,308593.23,297784.18
2020-02-25,3.6,3.64,3.63,3.55,354288.91,-0.07,-1.89,3.634,3.587,3.585,320805.18,283594.88,282901.51
2020-02-24,3.66,3.74,3.7,3.65,383249.53,0.02,0.54,3.622,3.577,3.605,306633.74,291358.85,273944.71
2020-02-21,3.6,3.69,3.68,3.58,370000.97,0.07,1.94,3.598,3.554,3.622,292284.0,281691.2,258822.87
2020-02-20,3.56,3.62,3.61,3.55,277685.97,0.06,1.69,3.564,3.527,3.64,251540.11,268694.49,246835.7
2020-02-19,3.56,3.58,3.55,3.54,218800.5,-0.02,-0.56,3.54,3.508,3.662,239600.29,272675.72,241886.2
2020-02-18,3.58,3.6,3.57,3.55,283431.75,-0.01,-0.28,3.54,3.494,3.69,246384.58,281778.98,238616.6
2020-02-17,3.5,3.59,3.58,3.49,311500.81,0.07,1.99,3.532,3.475,3.718,276083.95,299419.73,232749.07
2020-02-14,3.48,3.52,3.51,3.47,166281.5,0.02,0.57,3.51,3.464,3.745,271098.4,284027.75,225662.91
2020-02-13,3.55,3.56,3.49,3.48,217986.88,-0.06,-1.69,3.49,3.498,3.776,285848.87,291863.82,227148.5
2020-02-12,3.52,3.55,3.55,3.47,252721.95,0.02,0.57,3.476,3.543,3.806,305751.16,286975.14,232632.12
2020-02-11,3.47,3.71,3.53,3.47,431928.62,0.06,1.73,3.448,3.583,3.838,317173.37,282208.14,241169.71
2020-02-10,3.39,3.47,3.47,3.37,286573.03,0.06,1.76,3.418,3.633,3.867,322755.51,256530.57,231294.45
2020-02-07,3.42,3.42,3.41,3.37,240033.88,-0.01,-0.29,3.418,3.69,3.899,296957.11,235954.53,227278.14
2020-02-06,3.42,3.43,3.42,3.36,317498.31,0.01,0.29,3.506,3.752,3.936,297878.77,224976.9,230540.76
2020-02-05,3.4,3.46,3.41,3.37,309833.03,0.03,0.89,3.61,3.816,3.97,268199.11,211096.68,225032.77
2020-02-04,3.17,3.48,3.38,3.17,459839.31,-0.09,-2.59,3.718,3.886,4.003,247242.91,195454.23,218365.07
2020-02-03,3.47,3.47,3.47,3.47,157581.0,-0.38,-9.87,3.848,3.96,4.035,190305.62,166078.41,205644.25
2020-01-23,3.9,3.93,3.85,3.83,244642.22,-0.09,-2.28,3.962,4.025,4.062,174951.96,167298.07,202886.21
2020-01-22,3.93,3.96,3.94,3.87,169100.0,-0.01,-0.25,3.998,4.053,4.068,152075.03,162433.18,195304.87
2020-01-21,4.02,4.03,3.95,3.94,205052.0,-0.08,-1.99,4.022,4.068,4.07,153994.24,178289.1,191451.7
2020-01-20,4.04,4.05,4.03,4.01,175152.88,-0.01,-0.25,4.054,4.093,4.07,143665.55,200131.28,190670.73
2020-01-17,4.04,4.06,4.04,4.03,80812.69,0.01,0.25,4.072,4.1,4.07,141851.19,206058.34,189466.5
2020-01-16,4.07,4.07,4.03,4.02,130257.6,-0.03,-0.74,4.088,4.108,4.072,159644.18,218601.74,192073.99
2020-01-15,4.1,4.11,4.06,4.05,178696.05,-0.05,-1.22,4.108,4.12,4.075,172791.33,236104.62,194822.44
2020-01-14,4.11,4.14,4.11,4.11,153408.55,-0.01,-0.24,4.114,4.123,4.077,202583.95,238968.86,199523.88
2020-01-13,4.11,4.12,4.12,4.08,166081.08,0.0,0.0,4.132,4.119,4.075,256597.0,241275.92,200576.11
2020-01-10,4.15,4.15,4.12,4.09,169777.62,-0.01,-0.24,4.128,4.11,4.069,270265.49,245210.1,210141.94
2020-01-09,4.13,4.15,4.13,4.1,195993.34,0.04,0.98,4.128,4.098,4.063,277559.3,238474.35,210826.94
2020-01-08,4.18,4.18,4.09,4.08,327659.16,-0.11,-2.62,4.132,4.082,4.06,299417.92,228176.57,211098.68
2020-01-07,4.1,4.23,4.2,4.09,423473.81,0.1,2.44,4.132,4.072,4.058,275353.77,204614.31,200835.87
2020-01-06,4.09,4.14,4.1,4.07,234423.5,-0.02,-0.48,4.106,4.047,4.051,225954.84,181210.18,190180.71
2020-01-03,4.14,4.15,4.12,4.1,206246.7,-0.03,-0.72,4.092,4.04,4.048,220154.7,172874.66,184748.84
2020-01-02,4.11,4.16,4.15,4.11,305286.41,0.06,1.47,4.068,4.035,4.042,199389.4,165546.24,181146.16
2019-12-31,4.08,4.1,4.09,4.05,207338.45,0.02,0.49,4.032,4.029,4.034,156935.21,153540.26,173962.95
2019-12-30,4.03,4.08,4.07,4.01,176479.12,0.04,0.99,4.012,4.03,4.028,133874.84,160078.9,168148.29
2019-12-27,4.0,4.07,4.03,3.99,205422.84,0.03,0.75,3.988,4.03,4.021,136465.53,159876.3,164348.76
2019-12-26,3.97,4.0,4.0,3.97,102420.16,0.03,0.76,3.988,4.028,4.016,125594.61,175073.79,159546.73
2019-12-25,3.99,4.0,3.97,3.96,93015.5,-0.02,-0.5,4.002,4.028,4.012,131703.08,183179.54,163309.22
2019-12-24,3.96,4.0,3.99,3.95,92036.58,0.04,1.01,4.026,4.037,4.011,150145.31,194020.79,170638.97
2019-12-23,4.02,4.04,3.95,3.94,189432.56,-0.08,-1.99,4.048,4.043,4.012,186282.96,197057.44,190244.62
2019-12-20,4.08,4.1,4.03,4.03,151068.27,-0.04,-0.98,4.072,4.054,4.019,183287.07,199151.24,214782.48
2019-12-19,4.08,4.09,4.07,4.06,132962.47,-0.02,-0.49,4.068,4.055,4.015,224552.96,196623.02,222355.69
2019-12-18,4.11,4.11,4.09,4.05,185226.69,-0.01,-0.24,4.054,4.049,4.007,234656.0,196746.08,222711.52
2019-12-17,4.07,4.12,4.1,4.04,272724.81,0.03,0.74,4.048,4.039,3.995,237896.27,194385.63,218805.39
2019-12-16,4.04,4.07,4.07,4.03,174453.12,0.06,1.5,4.038,4.025,3.985,207831.92,176217.68,213225.46
2019-12-13,4.02,4.08,4.01,4.01,357397.69,0.01,0.25,4.036,4.012,3.976,215015.4,168821.23,216296.5
2019-12-12,4.05,4.05,4.0,3.98,183477.69,-0.06,-1.48,4.042,4.004,3.965,168693.09,144019.68,205027.18
2019-12-11,4.05,4.09,4.06,4.03,201428.06,0.01,0.25,4.044,3.995,3.955,158836.15,143438.91,199887.4
2019-12-10,4.06,4.07,4.05,4.03,122403.06,-0.01,-0.25,4.03,3.985,3.942,150874.98,147257.14,194303.56
2019-12-09,4.04,4.1,4.06,4.02,210370.52,0.02,0.49,4.012,3.98,3.929,144603.43,183431.79,192302.78
2019-12-06,3.99,4.04,4.04,3.98,125786.12,0.03,0.75,3.988,3.984,3.916,122627.05,230413.72,187441.85
2019-12-05,4.01,4.01,4.01,3.97,134193.0,0.02,0.5,3.966,3.975,3.906,119346.27,248088.36,187265.29
2019-12-04,3.94,4.01,3.99,3.93,161622.19,0.03,0.76,3.946,3.965,3.897,128041.66,248676.96,184841.4
2019-12-03,3.94,3.96,3.96,3.91,91045.33,0.02,0.51,3.94,3.951,3.891,143639.31,243225.16,185172.72
2019-12-02,3.92,3.95,3.94,3.91,100488.59,0.01,0.25,3.948,3.944,3.885,222260.15,250233.23,186103.96
2019-11-29,3.9,3.94,3.93,3.89,109382.26,0.02,0.51,3.98,3.939,3.879,338200.39,263771.78,186144.29
2019-11-28,3.97,3.97,3.91,3.89,177669.94,-0.05,-1.26,3.984,3.925,3.872,376830.44,266034.69,185199.68
2019-11-27,4.02,4.02,3.96,3.94,239610.41,-0.04,-1.0,3.984,3.915,3.864,369312.27,256335.89,181363.04
2019-11-26,4.05,4.06,4.0,4.0,484149.53,-0.1,-2.44,3.962,3.898,3.856,342811.01,241349.98,174490.89
2019-11-25,3.97,4.15,4.1,3.96,680189.81,0.15,3.8,3.94,3.878,3.846,278206.32,201173.77,156746.27
2019-11-22,3.91,3.96,3.95,3.88,302532.53,0.04,1.02,3.898,3.847,3.834,189343.17,144469.99,128814.74
2019-11-21,3.85,3.93,3.91,3.84,140079.05,0.06,1.56,3.866,3.837,3.827,155238.93,126442.23,118462.12
2019-11-20,3.9,3.9,3.85,3.85,107104.12,-0.04,-1.03,3.846,3.829,3.823,143359.52,121005.83,118308.89
2019-11-19,3.88,3.9,3.89,3.85,161126.08,0.0,0.0,3.834,3.83,3.821,139888.95,127120.29,117698.05
2019-11-18,3.79,3.93,3.89,3.79,235874.09,0.1,2.64,3.816,3.825,3.819,124141.22,121974.69,113500.2
2019-11-15,3.8,3.85,3.79,3.79,132011.31,-0.02,-0.53,3.796,3.818,3.815,99596.8,108516.8,106384.71
2019-11-14,3.78,3.82,3.81,3.77,80681.98,0.02,0.53,3.808,3.818,3.817,97645.53,104364.68,105611.1
2019-11-13,3.8,3.8,3.79,3.77,89751.31,-0.01,-0.26,3.812,3.813,3.821,98652.14,106390.2,105967.71
2019-11-12,3.78,3.8,3.8,3.76,82387.43,0.01,0.26,3.826,3.813,3.827,114351.63,107631.8,108270.76
2019-11-11,3.84,3.84,3.79,3.76,113151.96,-0.06,-1.56,3.834,3.814,3.834,119808.15,112318.76,113812.51
2019-11-08,3.86,3.88,3.85,3.82,122254.96,0.02,0.52,3.84,3.82,3.845,117436.79,113159.5,118631.55
2019-11-07,3.86,3.87,3.83,3.83,85715.05,-0.03,-0.78,3.828,3.817,3.848,111083.82,110482.01,117813.98
2019-11-06,3.83,3.89,3.86,3.82,168248.73,0.02,0.52,3.814,3.816,3.852,114128.25,115611.95,118977.45
2019-11-05,3.83,3.85,3.84,3.8,109670.05,0.02,0.52,3.8,3.812,3.852,100911.97,108275.82,114728.32
2019-11-04,3.79,3.84,3.82,3.79,101295.17,0.03,0.79,3.794,3.812,3.853,104829.38,105025.71,114498.92
2019-11-01,3.76,3.8,3.79,3.73,90490.11,0.03,0.8,3.8,3.811,3.854,108882.21,104252.63,114814.88
2019-10-31,3.77,3.79,3.76,3.74,100937.2,-0.03,-0.79,3.806,3.815,3.856,109880.19,106857.53,117302.45
2019-10-30,3.82,3.82,3.79,3.77,102167.31,-0.02,-0.53,3.818,3.828,3.859,117095.64,105545.21,121087.7
2019-10-29,3.85,3.86,3.81,3.81,129257.09,-0.04,-1.04,3.824,3.84,3.864,115639.66,108909.73,123290.99
2019-10-28,3.81,3.85,3.85,3.8,121559.35,0.03,0.79,3.83,3.853,3.871,105222.05,115306.27,122648.49
2019-10-25,3.82,3.83,3.82,3.78,95480.0,0.0,0.0,3.822,3.87,3.877,99623.05,124103.6,122189.48
2019-10-24,3.83,3.85,3.82,3.8,137014.45,0.0,0.0,3.824,3.879,3.885,103834.88,125145.95,125009.26
2019-10-23,3.83,3.84,3.82,3.8,94887.43,-0.02,-0.52,3.838,3.888,3.894,93994.79,122342.95,126591.61
2019-10-22,3.8,3.84,3.84,3.8,77169.03,0.03,0.79,3.856,3.892,3.904,102179.8,121180.82,128039.32
2019-10-21,3.82,3.83,3.81,3.78,93564.33,-0.02,-0.52,3.876,3.893,3.912,125390.48,123972.13,137618.94
2019-10-18,3.9,3.92,3.83,3.82,116539.15,-0.06,-1.54,3.918,3.896,3.927,148584.14,125377.14,143382.53
2019-10-17,3.92,3.93,3.89,3.88,87814.0,-0.02,-0.51,3.934,3.896,3.941,146457.02,127747.37,145751.63
2019-10-16,3.94,3.97,3.91,3.91,135812.47,-0.03,-0.76,3.938,3.889,3.951,150691.12,136630.2,151142.35
2019-10-15,3.99,3.99,3.94,3.93,193222.44,-0.08,-1.99,3.928,3.888,3.961,140181.84,137672.26,156029.23
2019-10-14,3.93,4.03,4.02,3.93,209532.66,0.11,2.81,3.91,3.889,3.969,122553.77,129990.71,155357.55
2019-10-11,3.9,3.92,3.91,3.88,105903.51,0.0,0.0,3.874,3.883,3.971,102170.13,120275.37,158362.17
2019-10-10,3.85,3.91,3.91,3.85,108984.52,0.05,1.29,3.858,3.89,3.98,109037.72,124872.57,176430.12
2019-10-09,3.84,3.86,3.86,3.82,83266.08,0.01,0.26,3.84,3.9,3.991,122569.27,130840.26,197627.47
2019-10-08,3.84,3.87,3.85,3.82,105082.09,0.01,0.26,3.848,3.915,4.003,135162.67,134897.82,227542.09
2019-09-30,3.85,3.86,3.84,3.82,107614.47,0.01,0.26,3.868,3.93,4.008,137427.66,151265.76,246022.48
2019-09-27,3.82,3.85,3.83,3.81,140241.44,0.01,0.26,3.892,3.957,4.003,138380.6,161387.93,245510.45
2019-09-26,3.9,3.91,3.82,3.81,176642.27,-0.08,-2.05,3.922,3.986,4.001,140707.41,163755.89,242727.27
2019-09-25,3.95,3.95,3.9,3.89,146233.09,-0.05,-1.27,3.96,4.013,4.0,139111.25,165654.51,240467.73
2019-09-24,3.96,3.98,3.95,3.93,116407.01,-0.01,-0.25,3.982,4.034,3.995,134632.96,174386.21,239754.91
2019-09-23,3.99,3.99,3.96,3.92,112379.18,-0.02,-0.5,3.992,4.048,3.984,165103.87,180724.38,241497.13
2019-09-20,4.02,4.03,3.98,3.97,151875.5,-0.03,-0.75,4.022,4.058,3.977,184395.26,196448.97,240284.2
2019-09-19,4.02,4.05,4.01,3.97,168661.48,0.0,0.0,4.05,4.069,3.97,186804.37,227987.68,236101.94
2019-09-18,4.02,4.03,4.01,3.99,123841.65,0.01,0.25,4.066,4.082,3.961,192197.77,264414.68,232694.58
2019-09-17,4.1,4.11,4.0,3.98,268761.53,-0.11,-2.68,4.086,4.091,3.953,214139.45,320186.37,233814.24
2019-09-16,4.1,4.14,4.11,4.1,208836.14,-0.01,-0.24,4.104,4.085,3.945,196344.89,340779.19,228276.34
2019-09-12,4.1,4.12,4.12,4.08,163921.06,0.03,0.73,4.094,4.049,3.928,208502.68,329632.96,221962.06
2019-09-11,4.11,4.13,4.09,4.07,195628.48,-0.02,-0.49,4.088,4.015,3.91,269170.99,321698.66,219882.46
2019-09-10,4.1,4.13,4.11,4.09,233550.05,0.02,0.49,4.098,3.986,3.894,336631.6,315280.95,214606.67
2019-09-09,4.1,4.12,4.09,4.06,179788.72,0.03,0.74,4.096,3.955,3.877,426233.29,305123.62,206629.28
2019-09-06,4.11,4.12,4.06,4.03,269625.09,-0.03,-0.73,4.066,3.92,3.863,485213.49,302269.88,203087.19
2019-09-05,4.15,4.19,4.09,4.08,467262.62,-0.05,-1.21,4.004,3.895,3.85,450763.24,284119.42,197198.48
2019-09-04,4.07,4.14,4.14,4.03,532931.5,0.04,0.98,3.942,3.87,3.835,374226.32,244216.21,179117.23
2019-09-03,4.0,4.16,4.1,3.98,681558.5,0.16,4.06,3.874,3.839,3.815,293930.31,200974.47,157775.96
2019-09-02,3.81,4.0,3.94,3.81,474689.75,0.19,5.07,3.814,3.814,3.797,184013.94,147442.12,139612.26
2019-08-30,3.81,3.81,3.75,3.74,97373.85,-0.03,-0.79,3.774,3.804,3.794,119326.27,115773.49,123776.45
2019-08-29,3.81,3.81,3.78,3.77,84578.0,-0.02,-0.53,3.786,3.806,3.803,117475.6,114291.15,130503.1
2019-08-28,3.8,3.81,3.8,3.76,131451.45,0.0,0.0,3.798,3.805,3.813,114206.09,118066.25,133571.27
2019-08-27,3.75,3.8,3.8,3.75,131976.67,0.06,1.6,3.804,3.802,3.824,108018.62,113932.39,134312.14
2019-08-26,3.72,3.75,3.74,3.7,151251.38,-0.07,-1.84,3.814,3.799,3.839,110870.29,108134.95,134315.66
