date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-05-29,4.43,4.5,4.44,4.4,178775.0,-0.03,-0.67,4.632,5.008,4.936,276866.34,442795.34,443029.34
2020-05-28,4.63,4.63,4.47,4.39,272167.56,-0.16,-3.46,4.764,5.136,4.928,309724.74,533934.22,455537.51
2020-05-27,4.71,4.9,4.63,4.61,333388.03,-0.19,-3.94,4.888,5.29,4.9,345588.44,558370.75,443874.68
2020-05-26,4.8,4.93,4.82,4.72,322243.0,0.02,0.42,5.04,5.373,4.863,417323.18,578538.8,431278.68
2020-05-25,5.08,5.1,4.8,4.74,277758.12,-0.3,-5.88,5.24,5.387,4.821,498807.6,563657.74,418432.33
2020-05-22,5.07,5.24,5.1,4.89,343067.0,0.01,0.2,5.384,5.358,4.782,608724.34,596652.23,408730.23
2020-05-21,5.22,5.47,5.09,5.06,451486.03,-0.3,-5.57,5.508,5.327,4.727,758143.69,565718.94,395094.26
2020-05-20,5.6,6.09,5.39,5.24,692061.75,-0.43,-7.39,5.692,5.253,4.67,771153.06,553859.19,376858.16
2020-05-19,5.34,5.88,5.82,5.24,729665.12,0.3,5.43,5.706,5.133,4.597,739754.41,514235.06,350545.68
2020-05-18,5.44,5.66,5.52,5.15,827341.81,-0.2,-3.5,5.534,4.973,4.512,628507.87,475466.15,319575.08
2020-05-15,6.28,6.43,5.72,5.41,1090163.75,-0.29,-4.83,5.332,4.863,4.445,584580.12,443263.33,287853.36
2020-05-14,5.78,6.01,6.01,5.69,516532.88,0.55,10.07,5.146,4.72,4.365,373294.19,377140.8,243197.71
2020-05-13,5.38,5.46,5.46,5.21,535068.5,0.5,10.08,4.814,4.509,4.255,336565.32,329378.61,221544.96
2020-05-12,4.7,4.96,4.96,4.7,173432.41,0.45,9.98,4.56,4.353,4.178,288715.7,284018.56,200361.27
2020-05-11,5.09,5.09,4.51,4.32,607703.06,-0.28,-5.85,4.412,4.255,4.131,322424.42,273206.92,198732.7
2020-05-08,4.79,4.79,4.79,4.79,33734.11,0.44,10.12,4.394,4.206,4.115,301946.55,220808.23,178674.71
2020-04-27,4.1,4.48,4.35,4.01,332888.53,0.16,3.82,4.294,4.126,4.074,380987.41,224469.58,183640.8
2020-04-24,4.23,4.58,4.19,4.17,295820.41,-0.03,-0.71,4.204,4.086,4.055,322191.9,199857.14,171493.21
2020-04-23,4.42,4.59,4.22,4.22,341976.0,-0.2,-4.53,4.146,4.06,4.05,279321.42,186856.31,162443.06
2020-04-22,4.3,4.48,4.42,4.16,505313.69,0.13,3.03,4.098,4.05,4.037,223989.42,163684.01,148334.06
2020-04-21,3.95,4.29,4.29,3.93,428938.41,0.39,10.0,4.018,4.026,4.01,139669.92,132443.38,125779.48
2020-04-20,3.94,3.94,3.9,3.86,38911.0,0.0,0.0,3.958,4.009,3.984,67951.75,109254.61,107745.81
2020-04-17,4.02,4.02,3.9,3.9,81468.0,-0.08,-2.01,3.968,4.001,3.988,77522.37,113711.31,108365.46
2020-04-16,3.95,4.04,3.98,3.93,65316.0,-0.04,-0.99,3.974,4.003,3.989,94391.19,116703.98,108960.64
2020-04-15,3.97,4.09,4.02,3.94,83716.19,0.03,0.75,4.002,4.007,3.985,103378.59,124258.48,110041.39
2020-04-14,3.92,3.99,3.99,3.9,70347.56,0.04,1.01,4.034,4.024,3.979,125216.85,136541.19,111550.98
2020-04-13,3.97,4.04,3.95,3.91,86764.09,0.02,0.51,4.06,4.021,3.984,150557.48,142812.02,118232.59
2020-04-10,4.1,4.14,3.93,3.9,165812.12,-0.19,-4.61,4.034,4.024,4.006,149900.26,143129.29,125199.97
2020-04-09,4.2,4.22,4.12,4.09,110253.01,-0.06,-1.44,4.032,4.039,4.022,139016.76,138029.82,129364.17
2020-04-08,4.11,4.25,4.18,4.05,192907.45,0.06,1.46,4.012,4.023,4.031,145138.37,132984.12,134293.25
2020-04-07,3.9,4.14,4.12,3.85,197050.72,0.3,7.85,4.014,3.994,4.021,147865.54,119115.57,130331.88
2020-04-03,3.91,3.98,3.82,3.81,83478.0,-0.1,-2.55,3.982,3.958,4.015,135066.57,106237.0,126054.85
2020-04-02,4.0,4.0,3.92,3.86,111394.61,-0.1,-2.49,4.014,3.975,4.025,136358.31,103019.6,126836.91
2020-04-01,4.11,4.15,4.02,4.0,140861.09,-0.17,-4.06,4.046,3.975,4.034,137042.88,101217.3,128472.46
2020-03-31,4.0,4.25,4.19,3.95,206543.27,0.23,5.81,4.034,3.963,4.031,120829.86,95824.29,127104.14
2020-03-30,3.95,4.13,3.96,3.9,133055.88,-0.02,-0.5,3.974,3.934,4.016,90365.61,86560.76,121925.92
2020-03-27,4.09,4.16,3.98,3.92,89936.71,-0.1,-2.45,3.934,3.946,4.009,77407.43,93653.16,119791.68
2020-03-26,3.97,4.15,4.08,3.92,114817.45,0.12,3.03,3.936,3.988,3.997,69680.89,107270.66,122699.67
2020-03-25,3.97,4.0,3.96,3.92,59796.0,0.07,1.8,3.904,4.004,3.992,65391.71,120698.52,133509.6
